,0,1,2,3,4,5,6,7,8,9
PROJECT_ID_0000,-0.79304135,0.6168436,-1.053338,0.4508317,0.1752988,-0.10351766,0.1184111,0.054669723,0.72525537,0.328003
PROJECT_ID_0001,-0.84910387,0.20143382,-0.9193349,0.54357845,0.7635962,-0.7475166,-0.4968293,0.39058968,0.6890624,0.3960206
PROJECT_ID_0002,-1.2871723,-0.21049842,-0.7636919,0.8754544,0.27449828,-0.68767405,0.58876044,0.58283544,0.81434786,-0.3742327
PROJECT_ID_0003,0.061229948,0.19949976,-1.5600249,0.4498617,-0.1280992,-0.4953523,0.21386236,0.31200784,0.10416164,0.38173112
PROJECT_ID_0004,-0.25444418,0.7879706,-1.3664029,0.6622508,0.0701415,-0.49020556,0.22904505,0.77990764,0.86774474,0.34750676
PROJECT_ID_0005,-0.2055217,0.36642143,-1.0992494,0.9847245,0.1854721,0.21344005,-0.1639721,0.2981142,1.1052402,-0.14969939
PROJECT_ID_0006,-0.10452825,-0.12231789,-1.4858254,0.7617377,-0.6178291,-1.0418488,-0.25796315,0.97901773,0.08936005,-0.13720153
PROJECT_ID_0007,-0.6398816,-0.07039796,-1.2437762,0.5109045,0.83193177,-0.36186534,-0.44477212,0.5267869,0.13616452,-0.27895495
PROJECT_ID_0008,0.21203619,-0.23213606,-1.6060481,0.62349665,-0.15759028,0.4890669,-0.047877986,0.8455382,0.14534386,-0.36910164
PROJECT_ID_0009,-0.3720585,0.49362794,-0.9663952,1.2027559,0.19829984,-0.60764766,-0.51902807,1.2724106,0.068702556,-0.029410383
PROJECT_ID_0010,-0.35005707,0.47480887,-1.2183236,0.50550836,0.32638276,-0.025439179,0.021272495,0.480006,0.55422586,0.625651
PROJECT_ID_0011,-0.7371403,0.32929203,-1.6094971,0.2462179,0.18456341,0.16679247,0.5717982,0.61671704,-0.42705256,0.5044015
PROJECT_ID_0012,-0.549614,-0.9221291,-1.0739577,1.0184923,0.5661536,-0.89169645,-0.3194909,-0.047332134,0.97603685,0.18090324
PROJECT_ID_0013,-0.8293075,-0.23422079,-1.2966021,0.56552005,1.0075405,-0.5653056,-0.32564083,0.3830556,-0.20378803,-0.019190364
PROJECT_ID_0014,-0.3732327,0.20958436,-1.4448743,0.82072216,-0.4202402,-0.6098046,-0.03224522,0.34626764,0.31863868,-0.22713216
PROJECT_ID_0015,-0.055585414,0.17159565,-1.6605678,0.8336246,0.16771871,0.11378933,-0.84420043,-0.27494943,0.43106362,0.68572146
PROJECT_ID_0016,-1.1193588,0.292161,-1.465018,0.044381455,-0.15348758,-1.0975482,-0.037095282,-0.032466646,0.60541755,0.30820492
PROJECT_ID_0017,-0.5956448,0.441514,-1.3287264,0.9578499,-0.44022903,-0.28012168,0.14493929,0.47857052,0.68051416,-0.3226382
PROJECT_ID_0018,-0.23055156,0.47971758,-1.0454354,0.99099916,0.4630118,-0.48781604,-0.6990817,0.6149628,0.5068213,0.40921843
PROJECT_ID_0019,-0.87148774,0.46284434,-1.0433606,1.1313908,0.35652396,-0.23304045,-0.28288594,0.56409675,1.0152787,-0.33808827
PROJECT_ID_0020,-0.47052693,0.34582192,-0.95131344,0.633339,0.8800524,-0.55092984,-0.7088904,0.5339678,0.50748616,0.81166387
PROJECT_ID_0021,-0.5863072,0.77548546,-1.7064291,0.10905458,-0.4219732,-0.259047,0.33906,0.049118884,0.48843804,0.92611504
PROJECT_ID_0022,-0.42773464,0.11673425,-1.7751578,0.2688811,0.36719307,-0.12674159,0.5197466,-0.18400083,1.0320727,0.13556407
PROJECT_ID_0023,-0.71703935,0.56478745,-1.2182842,0.88310915,0.280062,-0.69889975,-0.39131844,0.6987678,0.19994368,-0.01621025
PROJECT_ID_0024,-0.53178716,0.09724998,-0.6124394,0.96157765,0.2970864,-0.32920194,0.09258153,0.60890216,0.32739916,1.5047251
PROJECT_ID_0025,-1.0411988,0.08558121,-1.6130223,-0.20343685,0.11742792,-1.5040989,-0.5074957,0.11188742,0.64067435,1.144196
PROJECT_ID_0026,-0.9680868,0.42454007,-0.8901405,1.0369731,-0.08375473,0.56698936,1.0581534,0.89144677,0.80538356,0.40623945
PROJECT_ID_0027,-0.53702956,0.9428631,-0.74882513,0.44603506,0.6123275,-0.056765094,0.011638933,0.8533895,1.075622,0.47308648
PROJECT_ID_0028,-0.60238194,-0.185856,-1.1769173,-0.17486967,0.034089364,-0.66710883,-0.12881134,0.92065793,0.08573501,0.83498627
PROJECT_ID_0029,-0.92394537,0.079368845,-1.1713195,-0.63469654,0.3133351,-0.4848301,0.22714344,1.1786427,0.2109972,0.82379043
PROJECT_ID_0030,-0.65541226,0.66836274,-1.0732665,0.41120997,0.05268795,0.70320296,-0.18316765,1.5897168,0.0066459146,0.77475
PROJECT_ID_0031,-0.8156813,0.6935418,-0.92537314,0.63369,-0.018935272,0.11469128,-0.35680902,1.8912834,-0.15112093,0.6495195
PROJECT_ID_0032,-1.3514016,-0.186823,-0.55244917,1.0637137,0.68699765,-0.61513764,-0.37062362,1.332134,0.08539885,0.123729475
PROJECT_ID_0033,-0.8094886,-0.06722691,-0.76161146,1.0524493,0.23073493,-0.30868143,-0.6596563,1.9557692,0.33817658,0.01971972
PROJECT_ID_0034,-1.4070323,-0.21785305,-0.5858273,1.0593553,0.6084619,-0.6893161,-0.36559442,1.3032618,0.047175165,0.13290983
PROJECT_ID_0035,-1.4165233,0.079469025,-1.0307184,0.93313134,0.07280615,-0.1317543,-0.6333779,1.7199774,-0.49982524,-0.29609084
PROJECT_ID_0036,-0.17578048,0.05066047,-1.6141299,-0.4862729,0.28803033,0.6971253,0.12905188,1.2642534,0.68358487,0.32115763
PROJECT_ID_0037,-1.4058901,0.05697762,-1.1253682,0.95095885,0.06596271,-0.14283082,-0.701235,1.7238053,-0.50358427,-0.23407005
PROJECT_ID_0038,-0.6493501,-0.077865146,-0.5354864,0.9825226,0.14883077,-0.08884943,0.044112217,1.4955997,0.45457187,0.38285407
